OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
564,FRA,1,Moderate, , ,12497.08203125,675.541437760916
565,FRA,1,Moderate, , ,10252.5654296875,645.241605401478
566,FRA,1,Moderate, , ,5258.7236328125,626.399665447953
567,FRA,2,High, , ,31492.11328125,1136.5302209498
568,FRA,3,Very High,Y,Very High,330636.068359375,11435.8886968893
569,FRA,3,Very High,Y,Very High,8338.11328125,4138.37436746789
570,FRA,3,Very High,Y,Very High,738.8544921875,559.280678853997
571,FRA,3,Very High, ,Very High,7501037.3046875,18217.4891456186
572,FRA,3,Very High,Y,Very High,3073.5615234375,1549.75672617169
573,FRA,3,Very High, ,Very High,1547291.47460938,6004.50612857736
574,FRA,3,Very High, ,Very High,6367118.07910156,16159.2950229063
575,FRA,3,Very High,Y,Very High,63255.0361328125,13252.6138523258
576,FRA,3,Very High, ,Very High,8381728.92480469,13157.7601251794
577,FRA,3,Very High, ,Very High,3531864.58984375,7966.09206553962
578,FRA,3,Very High, ,Very High,622777.2890625,5625.43318372983
579,FRA,3,Very High, ,Very High,3155552.20898438,7604.88143451486
580,FRA,3,Very High, ,Very High,1686967.40234375,5195.64479261201
581,FRA,3,Very High, ,Very High,3291675.74414062,7673.35914893266
582,FRA,3,Very High,Y,Very High,323.7119140625,85.5665362841424
583,FRA,3,Very High,Y,Very High,7688.5400390625,2255.35296454508
584,FRA,3,Very High,Y,Very High,1691.400390625,448.10682195482
585,FRA,3,Very High, ,Very High,3447637.91210938,7951.15963831579
586,FRA,3,Very High, ,Very High,25125455.5449219,33277.0883728949
587,FRA,3,Very High,Y,Very High,12981949.2890625,24101.7788023642
588,FRA,3,Very High,Y,Very High,10443993.9794922,15838.9597717398
589,FRA,3,Very High,Y,Very High,91865272.4160156,64651.6042392606
590,FRA,3,Very High,Y,Very High,1438.1455078125,864.601724580382
591,FRA,3,Very High,Y,Very High,182481.598632812,10680.9037408594
592,FRA,3,Very High,Y,Very High,9280872.29980469,31063.8860025996
593,FRA,3,Very High, ,Very High,193905.626953125,2045.18311005714
594,FRA,3,Very High,Y,Very High,32087.1181640625,4962.53830980506
595,FRA,3,Very High, ,Very High,3406898.88867188,7889.52987538475
