Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003
"06037194200","Census Tract 1942, Los Angeles County, California","ACSSF","ca","140","00","0004703",,,,,"06","037",,,"194200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194200","Census Tract 1942",,,,477,42,202
"06037194300","Census Tract 1943, Los Angeles County, California","ACSSF","ca","140","00","0004704",,,,,"06","037",,,"194300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194300","Census Tract 1943",,,,286,60,82
"06037194401","Census Tract 1944.01, Los Angeles County, California","ACSSF","ca","140","00","0004705",,,,,"06","037",,,"194401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194401","Census Tract 1944.01",,,,1089,265,203
"06037194402","Census Tract 1944.02, Los Angeles County, California","ACSSF","ca","140","00","0004706",,,,,"06","037",,,"194402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194402","Census Tract 1944.02",,,,1335,389,461
"06037194500","Census Tract 1945, Los Angeles County, California","ACSSF","ca","140","00","0004707",,,,,"06","037",,,"194500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037194500","Census Tract 1945",,,,549,123,176
"06037195100","Census Tract 1951, Los Angeles County, California","ACSSF","ca","140","00","0004708",,,,,"06","037",,,"195100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195100","Census Tract 1951",,,,848,285,122
"06037195201","Census Tract 1952.01, Los Angeles County, California","ACSSF","ca","140","00","0004709",,,,,"06","037",,,"195201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195201","Census Tract 1952.01",,,,1221,286,182
"06037195202","Census Tract 1952.02, Los Angeles County, California","ACSSF","ca","140","00","0004710",,,,,"06","037",,,"195202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195202","Census Tract 1952.02",,,,759,155,165
"06037195300","Census Tract 1953, Los Angeles County, California","ACSSF","ca","140","00","0004711",,,,,"06","037",,,"195300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195300","Census Tract 1953",,,,1078,312,225
"06037195400","Census Tract 1954, Los Angeles County, California","ACSSF","ca","140","00","0004712",,,,,"06","037",,,"195400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195400","Census Tract 1954",,,,1189,236,293
"06037195500","Census Tract 1955, Los Angeles County, California","ACSSF","ca","140","00","0004713",,,,,"06","037",,,"195500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195500","Census Tract 1955",,,,1409,202,162
"06037195600","Census Tract 1956, Los Angeles County, California","ACSSF","ca","140","00","0004714",,,,,"06","037",,,"195600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037195600","Census Tract 1956",,,,832,145,321
