Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003,Percent_Rent_Burden,Percent_Severe_Burden
06037106407,"Census Tract 1064.07, Los Angeles County, California",ACSSF,ca,140,0,4250,,,,,6,37,,,106407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106407,Census Tract 1064.07,,,,680,288,276,42%,41%
06037106408,"Census Tract 1064.08, Los Angeles County, California",ACSSF,ca,140,0,4251,,,,,6,37,,,106408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106408,Census Tract 1064.08,,,,812,190,238,23%,29%
06037106510,"Census Tract 1065.10, Los Angeles County, California",ACSSF,ca,140,0,4252,,,,,6,37,,,106510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106510,Census Tract 1065.10,,,,444,84,232,19%,52%
06037106520,"Census Tract 1065.20, Los Angeles County, California",ACSSF,ca,140,0,4253,,,,,6,37,,,106520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106520,Census Tract 1065.20,,,,517,137,180,26%,35%
06037106603,"Census Tract 1066.03, Los Angeles County, California",ACSSF,ca,140,0,4254,,,,,6,37,,,106603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106603,Census Tract 1066.03,,,,91,40,30,44%,33%
06037106604,"Census Tract 1066.04, Los Angeles County, California",ACSSF,ca,140,0,4255,,,,,6,37,,,106604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106604,Census Tract 1066.04,,,,665,284,175,43%,26%
06037106641,"Census Tract 1066.41, Los Angeles County, California",ACSSF,ca,140,0,4256,,,,,6,37,,,106641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106641,Census Tract 1066.41,,,,91,9,77,10%,85%
06037106642,"Census Tract 1066.42, Los Angeles County, California",ACSSF,ca,140,0,4257,,,,,6,37,,,106642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106642,Census Tract 1066.42,,,,90,36,28,40%,31%
06037106643,"Census Tract 1066.43, Los Angeles County, California",ACSSF,ca,140,0,4258,,,,,6,37,,,106643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106643,Census Tract 1066.43,,,,132,15,6,11%,5%
06037106645,"Census Tract 1066.45, Los Angeles County, California",ACSSF,ca,140,0,4259,,,,,6,37,,,106645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106645,Census Tract 1066.45,,,,160,66,84,41%,53%
06037106646,"Census Tract 1066.46, Los Angeles County, California",ACSSF,ca,140,0,4260,,,,,6,37,,,106646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106646,Census Tract 1066.46,,,,106,35,11,33%,10%
06037106648,"Census Tract 1066.48, Los Angeles County, California",ACSSF,ca,140,0,4261,,,,,6,37,,,106648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106648,Census Tract 1066.48,,,,594,122,207,21%,35%
06037106649,"Census Tract 1066.49, Los Angeles County, California",ACSSF,ca,140,0,4262,,,,,6,37,,,106649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037106649,Census Tract 1066.49,,,,134,22,73,16%,54%
06037107010,"Census Tract 1070.10, Los Angeles County, California",ACSSF,ca,140,0,4263,,,,,6,37,,,107010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037107010,Census Tract 1070.10,,,,174,46,40,26%,23%
06037107020,"Census Tract 1070.20, Los Angeles County, California",ACSSF,ca,140,0,4264,,,,,6,37,,,107020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037107020,Census Tract 1070.20,,,,335,50,189,15%,56%
06037108101,"Census Tract 1081.01, Los Angeles County, California",ACSSF,ca,140,0,4265,,,,,6,37,,,108101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108101,Census Tract 1081.01,,,,114,15,13,13%,11%
06037108102,"Census Tract 1081.02, Los Angeles County, California",ACSSF,ca,140,0,4266,,,,,6,37,,,108102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108102,Census Tract 1081.02,,,,126,15,36,12%,29%
06037108103,"Census Tract 1081.03, Los Angeles County, California",ACSSF,ca,140,0,4267,,,,,6,37,,,108103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108103,Census Tract 1081.03,,,,93,33,51,35%,55%
06037108104,"Census Tract 1081.04, Los Angeles County, California",ACSSF,ca,140,0,4268,,,,,6,37,,,108104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108104,Census Tract 1081.04,,,,70,0,6,0%,9%
06037108202,"Census Tract 1082.02, Los Angeles County, California",ACSSF,ca,140,0,4269,,,,,6,37,,,108202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108202,Census Tract 1082.02,,,,952,427,355,45%,37%
06037108203,"Census Tract 1082.03, Los Angeles County, California",ACSSF,ca,140,0,4270,,,,,6,37,,,108203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108203,Census Tract 1082.03,,,,344,121,123,35%,36%
06037108204,"Census Tract 1082.04, Los Angeles County, California",ACSSF,ca,140,0,4271,,,,,6,37,,,108204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037108204,Census Tract 1082.04,,,,61,37,0,61%,0%
06037109100,"Census Tract 1091, Los Angeles County, California",ACSSF,ca,140,0,4272,,,,,6,37,,,109100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109100,Census Tract 1091,,,,230,52,131,23%,57%
06037109200,"Census Tract 1092, Los Angeles County, California",ACSSF,ca,140,0,4273,,,,,6,37,,,109200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109200,Census Tract 1092,,,,170,14,37,8%,22%
06037109300,"Census Tract 1093, Los Angeles County, California",ACSSF,ca,140,0,4274,,,,,6,37,,,109300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109300,Census Tract 1093,,,,100,10,53,10%,53%
06037109400,"Census Tract 1094, Los Angeles County, California",ACSSF,ca,140,0,4275,,,,,6,37,,,109400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109400,Census Tract 1094,,,,332,59,101,18%,30%
06037109500,"Census Tract 1095, Los Angeles County, California",ACSSF,ca,140,0,4276,,,,,6,37,,,109500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109500,Census Tract 1095,,,,331,17,169,5%,51%
06037109601,"Census Tract 1096.01, Los Angeles County, California",ACSSF,ca,140,0,4277,,,,,6,37,,,109601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109601,Census Tract 1096.01,,,,158,55,73,35%,46%
06037109603,"Census Tract 1096.03, Los Angeles County, California",ACSSF,ca,140,0,4278,,,,,6,37,,,109603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109603,Census Tract 1096.03,,,,502,134,208,27%,41%
06037109604,"Census Tract 1096.04, Los Angeles County, California",ACSSF,ca,140,0,4279,,,,,6,37,,,109604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109604,Census Tract 1096.04,,,,210,41,82,20%,39%
06037109700,"Census Tract 1097, Los Angeles County, California",ACSSF,ca,140,0,4280,,,,,6,37,,,109700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109700,Census Tract 1097,,,,345,98,108,28%,31%
06037109800,"Census Tract 1098, Los Angeles County, California",ACSSF,ca,140,0,4281,,,,,6,37,,,109800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037109800,Census Tract 1098,,,,428,52,119,12%,28%
06037111100,"Census Tract 1111, Los Angeles County, California",ACSSF,ca,140,0,4282,,,,,6,37,,,111100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037111100,Census Tract 1111,,,,326,70,48,21%,15%
06037111201,"Census Tract 1112.01, Los Angeles County, California",ACSSF,ca,140,0,4283,,,,,6,37,,,111201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037111201,Census Tract 1112.01,,,,137,11,62,8%,45%
06037111202,"Census Tract 1112.02, Los Angeles County, California",ACSSF,ca,140,0,4284,,,,,6,37,,,111202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037111202,Census Tract 1112.02,,,,713,93,132,13%,19%
06037111204,"Census Tract 1112.04, Los Angeles County, California",ACSSF,ca,140,0,4285,,,,,6,37,,,111204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037111204,Census Tract 1112.04,,,,209,43,16,21%,8%
