,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
6273,TR 14076,Bldg-New,1 or 2 Family Dwelling,2019-08-27,1,NOAH,R3-1,2414.0,33.9235,-118.27607,POINT (-118.27607 33.9235)
6275,TR 6447,Bldg-New,1 or 2 Family Dwelling,2020-08-12,1,NOAH,RD2-1,2702.0,34.03407,-118.3752,POINT (-118.3752 34.03407)
6278,TR 3634,Bldg-New,1 or 2 Family Dwelling,2019-12-04,1,NOAH,[Q]C2-1VL,1973.0,34.08029,-118.25496,POINT (-118.25496 34.08029)
6279,TR 50505,Bldg-New,1 or 2 Family Dwelling,2020-03-10,1,NOAH,[T]RE-1,1082.02,34.29641,-118.58584,POINT (-118.58584 34.29641)
6280,TR 5531,Bldg-New,1 or 2 Family Dwelling,2019-11-01,1,NOAH,RD2-1,2184.0,34.03549,-118.35818,POINT (-118.35818 34.03549)
6281,TR 13110,Bldg-New,1 or 2 Family Dwelling,2020-06-05,1,NOAH,R1-1,1397.01,34.16238,-118.49004,POINT (-118.49004 34.16238)
6282,TR 18994,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-03-09,1,NOAH,RA-1-K,1065.1,34.31992,-118.47579,POINT (-118.47579 34.31992)
6283,BOWEN'S VERNON AND HOOPER AVE TRACT,Bldg-Alter/Repair,Apartment,2019-02-28,1,NOAH,RD1.5-1,2282.2,34.00582,-118.25174,POINT (-118.25174 34.00582)
6284,TR 50505,Bldg-New,1 or 2 Family Dwelling,2021-02-10,1,NOAH,[T]RE-1,1082.02,34.29742,-118.58604,POINT (-118.58604 34.29742)
6285,TR 7360,Bldg-New,1 or 2 Family Dwelling,2020-03-04,1,NOAH,R1-1-RIO,1434.0,34.15502,-118.39751,POINT (-118.39751 34.15502)
6286,TR 7982,Bldg-New,1 or 2 Family Dwelling,2017-05-18,1,NOAH,R1-1,1851.0,34.10804,-118.2216,POINT (-118.2216 34.10804)
6287,BROOKLYN HEIGHTS GANAHL TRACT,Bldg-New,1 or 2 Family Dwelling,2018-07-20,1,NOAH,R3-1-CUGU,2037.1,34.05238,-118.20297,POINT (-118.20297 34.05238)
6288,TR 14298,Bldg-New,1 or 2 Family Dwelling,2020-02-12,1,NOAH,RE9-1,1414.0,34.16353,-118.48017,POINT (-118.48017 34.16353)
6289,TR 50505,Bldg-New,1 or 2 Family Dwelling,2020-03-10,1,NOAH,[T]RE-1,1082.02,34.29637,-118.58551,POINT (-118.58551 34.29637)
6290,TR 9854,Bldg-New,1 or 2 Family Dwelling,2020-02-26,1,NOAH,R1-1,1243.0,34.17599,-118.36836,POINT (-118.36836 34.17599)
6291,SUNNYSIDE PARK ADDITION,Bldg-New,1 or 2 Family Dwelling,2018-10-01,1,NOAH,[Q]R3-1,2383.1,33.96656,-118.28808,POINT (-118.28808 33.96656)
6292,TR 52866,Bldg-New,1 or 2 Family Dwelling,2021-04-07,1,NOAH,RE11-1-H,1344.24,34.21968,-118.65365,POINT (-118.65365 34.21968)
6293,BELLEVUE AVENUE TRACT NO. 2,Bldg-New,1 or 2 Family Dwelling,2021-01-27,1,NOAH,RD1.5-1VL,1957.1,34.07636,-118.26591,POINT (-118.26591 34.07636)
6294,TR 54402,Bldg-New,1 or 2 Family Dwelling,2017-06-29,1,NOAH,RA-1-K,1211.02,34.2553,-118.37661,POINT (-118.37661 34.2553)
6295,TR 50505,Bldg-New,1 or 2 Family Dwelling,2020-03-10,1,NOAH,[T]RE-1,1082.02,34.29665,-118.58566,POINT (-118.58566 34.29665)
6296,TR 19853,Bldg-New,1 or 2 Family Dwelling,2020-03-16,1,NOAH,RA-1,1396.0,34.15808,-118.51218,POINT (-118.51218 34.15808)
6297,TR 16847,Bldg-New,1 or 2 Family Dwelling,2019-08-05,1,NOAH,RA-1,1394.02,34.16544,-118.54024,POINT (-118.54024 34.16544)
6298,TR 21906,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-03-30,1,NOAH,RS-1,1154.03,34.22342,-118.53266,POINT (-118.53266 34.22342)
6299,TR 54402,Bldg-New,1 or 2 Family Dwelling,2017-06-29,1,NOAH,RA-1-K,1211.02,34.25563,-118.37691,POINT (-118.37691 34.25563)
6301,P M 2006-5756,Bldg-New,1 or 2 Family Dwelling,2018-05-24,1,NOAH,RA-1,1393.01,34.17812,-118.56027,POINT (-118.56027 34.17812)
6302,VISTA DEL ORO,Bldg-Alter/Repair,Commercial,2018-11-26,1,NOAH,[Q]C2-1XL,2969.02,33.73307,-118.29701,POINT (-118.29701 33.73307)
6303,PORTION OF THE BEAUDRY TRACT NO. 2 LYING EAST OF PEARL ST.,Bldg-Alter/Repair,Apartment,2020-06-12,1,NOAH,R4-1,2071.03,34.06368,-118.24253,POINT (-118.24253 34.06368)
6305,TR 7060,Bldg-New,1 or 2 Family Dwelling,2018-10-29,1,NOAH,[Q]R3-1XL,1895.0,34.10916,-118.32127,POINT (-118.32127 34.10916)
6306,TR 17545,Bldg-Alter/Repair,1 or 2 Family Dwelling,2017-05-30,1,NOAH,RS-1,1096.03,34.25379,-118.46321,POINT (-118.46321 34.25379)
6309,TR 50505,Bldg-New,1 or 2 Family Dwelling,2020-03-10,1,NOAH,[T]RE-1,1082.02,34.29667,-118.58582,POINT (-118.58582 34.29667)
6310,TR 54402,Bldg-New,1 or 2 Family Dwelling,2017-06-29,1,NOAH,RA-1-K,1211.02,34.25499,-118.3763,POINT (-118.3763 34.25499)
6311,TR 2019,Bldg-New,1 or 2 Family Dwelling,2021-01-14,1,NOAH,R1-1,1942.0,34.10596,-118.36862,POINT (-118.36862 34.10596)
6312,TR 13428,Bldg-New,1 or 2 Family Dwelling,2021-08-10,1,NOAH,RE11-1,1892.02,34.11466,-118.29251,POINT (-118.29251 34.11466)
6313,P M 2314,Bldg-New,1 or 2 Family Dwelling,2019-09-26,1,NOAH,R1-1,1851.0,34.11111,-118.21442,POINT (-118.21442 34.11111)
6315,TR 18593,Bldg-Addition,1 or 2 Family Dwelling,2017-03-17,1,NOAH,RS-1,1190.02,34.23838,-118.42056,POINT (-118.42056 34.23838)
6316,TR 54402,Bldg-New,1 or 2 Family Dwelling,2017-06-29,1,NOAH,RA-1-K,1211.02,34.25514,-118.37646,POINT (-118.37646 34.25514)
6317,CHESTERFIELD SQUARE,Bldg-Alter/Repair,1 or 2 Family Dwelling,2020-02-12,1,NOAH,RD1.5-1,2325.0,33.99339,-118.31182,POINT (-118.31182 33.99339)
6319,THE MC CARTHY COMPANY'S FLORENCE AVENUE HEIGHTS THE S. R. MC CREERY PLACE,Bldg-New,1 or 2 Family Dwelling,2019-06-20,1,NOAH,RD1.5-1,2377.2,33.96863,-118.28923,POINT (-118.28923 33.96863)
6320,ST. ALBANS LAKE PLACE,Bldg-New,1 or 2 Family Dwelling,2019-07-17,1,NOAH,R2-1VL,1873.0,34.09587,-118.25589,POINT (-118.25589 34.09587)
6321,P M 7053,Bldg-New,1 or 2 Family Dwelling,2018-05-31,1,NOAH,R1-1,1222.0,34.2192,-118.36439,POINT (-118.36439 34.2192)
6323,TR 1584,Bldg-New,1 or 2 Family Dwelling,2021-07-09,1,NOAH,(Q)RD3-1,1193.1,34.24284,-118.45446,POINT (-118.45446 34.24284)
6324,TR 20668,Bldg-New,1 or 2 Family Dwelling,2021-01-23,1,NOAH,RE20-1-H-HCR,2611.02,34.11493,-118.42441,POINT (-118.42441 34.11493)
6325,TR 50505,Bldg-New,1 or 2 Family Dwelling,2022-02-01,1,NOAH,[T]RE-1,1082.02,34.30008,-118.58235,POINT (-118.58235 34.30008)
6326,TR 1299,Bldg-New,1 or 2 Family Dwelling,2019-11-04,1,NOAH,R1-1,1815.0,34.12987,-118.18415,POINT (-118.18415 34.12987)
6327,"SUBDIVISION OF BLOCKS 12, 13, 14, 15, 16 AND 17 ELYSIAN HEIGHTS",Bldg-New,1 or 2 Family Dwelling,2021-01-29,1,NOAH,R1-1VL,1974.1,34.08979,-118.25481,POINT (-118.25481 34.08979)
6328,DURLEY PARK,Bldg-New,1 or 2 Family Dwelling,2018-02-12,1,NOAH,[Q]RD3-1XL,2737.0,34.00094,-118.4555,POINT (-118.4555 34.00094)
6329,HYLAND HEIGHTS TRACT,Bldg-New,1 or 2 Family Dwelling,2021-01-25,1,NOAH,R2-1-CUGU,2038.0,34.04381,-118.1978,POINT (-118.1978 34.04381)
6331,BRENTWOOD PARK,Bldg-New,1 or 2 Family Dwelling,2016-02-03,1,NOAH,RE20-1,2623.03,34.05934,-118.48845,POINT (-118.48845 34.05934)
6332,TR 54402,Bldg-New,1 or 2 Family Dwelling,2017-06-29,1,NOAH,RA-1-K,1211.02,34.25484,-118.37615,POINT (-118.37615 34.25484)
6333,TR 4983,Bldg-New,1 or 2 Family Dwelling,2021-02-09,1,NOAH,RD1.5-1,2920.0,33.84301,-118.30423,POINT (-118.30423 33.84301)
6334,TR 1584,Bldg-New,1 or 2 Family Dwelling,2021-07-09,1,NOAH,(Q)RD3-1,1193.1,34.24284,-118.45446,POINT (-118.45446 34.24284)
6335,ROSE HILL COURT,Bldg-New,1 or 2 Family Dwelling,2021-08-10,1,NOAH,[Q]R1-1D,1991.1,34.08358,-118.19394,POINT (-118.19394 34.08358)
6336,P M 2014-3308,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-04-22,1,NOAH,RD1.5-1-O,2218.2,34.03071,-118.28725,POINT (-118.28725 34.03071)
6338,JEFFRIES AVENUE TRACT,Bldg-New,1 or 2 Family Dwelling,2018-04-06,1,NOAH,RD2-1-CDO-RIO,1853.2,34.0869,-118.22338,POINT (-118.22338 34.0869)
6339,TR 7803,Bldg-New,1 or 2 Family Dwelling,2020-09-22,1,NOAH,R1-1-O,2656.01,34.05783,-118.43549,POINT (-118.43549 34.05783)
6340,WESTMINSTER PLACE,Bldg-Alter/Repair,1 or 2 Family Dwelling,2020-10-22,1,NOAH,R4-2,2117.04,34.06398,-118.31298,POINT (-118.31298 34.06398)
6341,AA-2019-3495-PMEX,Bldg-New,1 or 2 Family Dwelling,2020-10-16,1,NOAH,R1-1-RIO,1432.0,34.14756,-118.36538,POINT (-118.36538 34.14756)
6343,TR 14944,Bldg-New,1 or 2 Family Dwelling,2019-02-12,1,NOAH,RE15-1-H,2623.02,34.07713,-118.48445,POINT (-118.48445 34.07713)
6344,TR 17771,Bldg-New,1 or 2 Family Dwelling,2016-05-05,1,NOAH,RE15-1-H,1397.02,34.14458,-118.49843,POINT (-118.49843 34.14458)
