X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.458690800055,33.9911781997661,99,0,2261030900,Not Classified,Owned,General Services,R1-1,HUSTON ST/HASKELL AVE,LOS ANGELES,LOS ANGELES,0,0,5,325.9, 
-118.458690800055,33.9911781997661,100,0,2283011902,Not Classified,Owned,General Services,R1-1,DICKENS ST/GAVIOTA AVE,LOS ANGELES,LOS ANGELES,0,0,5,401.184, 
-118.458690800055,33.9911781997661,101,0,2283013900,Not Classified,Owned,General Services,R1-1,DICKENS ST/GAVIOTA AVE,LOS ANGELES,LOS ANGELES,0,0,5,41.737, 
-118.458690800055,33.9911781997661,102,0,2304017900,Not Classified,Owned,General Services,RS-1,RATNER ST/MORSE AVE,LOS ANGELES,LOS ANGELES,0,0,2,997.466, 
-118.458690800055,33.9911781997661,103,0,2304018900,Not Classified,Owned,General Services,RS-1,RATNER ST/VAN NOORD AVE,LOS ANGELES,LOS ANGELES,0,0,2,584.876, 
-118.458690800055,33.9911781997661,104,0,2316001901,Not Classified,Owned,General Services,R1-1,STAGG ST/LANKERSHIM BLVD,LOS ANGELES,LOS ANGELES,0,0,6,89.995, 
-118.458690800055,33.9911781997661,105,0,2328034901,Not Classified,Owned,General Services,R1-1,BARBARA  ANN ST/SUNNYSLOPE AVE,LOS ANGELES,LOS ANGELES,0,0,2,548.973, 
-118.458690800055,33.9911781997661,106,0,2343005901,Not Classified,Owned,General Services,R1-1,BUFFALO AVE/EMELITA ST,LOS ANGELES,LOS ANGELES,0,0,2,610.756, 
-118.458690800055,33.9911781997661,107,0,2512008900,Not Classified,Owned,General Services,RS-1,MONTERO AVE/GRIDLEY ST,LOS ANGELES,LOS ANGELES,0,0,7,1800.3, 
-118.458690800055,33.9911781997661,108,0,2523023901,Not Classified,Owned,General Services,R1-1,DEL SUR ST/HERRICK AVE,LOS ANGELES,LOS ANGELES,0,0,7,600.035, 
-118.458690800055,33.9911781997661,109,0,2530019900,Not Classified,Owned,General Services,RA-1,BRUSSELS AVE/KAGEL CANYON ST,LOS ANGELES,LOS ANGELES,0,0,7,59.891, 
-118.458690800055,33.9911781997661,110,0,2626016901,Not Classified,Owned,General Services,RA-1,REMICK AVE/MONTAGUE ST,LOS ANGELES,LOS ANGELES,0,0,6,271.394, 
